Landroid/accessibilityservice/AccessibilityService$GestureResultCallback;->GestureResultCallback,
Landroid/accessibilityservice/AccessibilityService$GestureResultCallback;->onCancelled,
Landroid/accessibilityservice/AccessibilityService$GestureResultCallback;->onCompleted,
Landroid/accessibilityservice/AccessibilityService$MagnificationController;->addListener,
Landroid/accessibilityservice/AccessibilityService$MagnificationController;->getCenterX,
Landroid/accessibilityservice/AccessibilityService$MagnificationController;->getCenterY,
Landroid/accessibilityservice/AccessibilityService$MagnificationController;->getMagnificationRegion,
Landroid/accessibilityservice/AccessibilityService$MagnificationController;->getScale,
Landroid/accessibilityservice/AccessibilityService$MagnificationController;->removeListener,
Landroid/accessibilityservice/AccessibilityService$MagnificationController;->reset,
Landroid/accessibilityservice/AccessibilityService$MagnificationController;->setCenter,
Landroid/accessibilityservice/AccessibilityService$MagnificationController;->setScale,
Landroid/accessibilityservice/AccessibilityService$SoftKeyboardController;->addOnShowModeChangedListener,
Landroid/accessibilityservice/AccessibilityService$SoftKeyboardController;->getShowMode,
Landroid/accessibilityservice/AccessibilityService$SoftKeyboardController;->removeOnShowModeChangedListener,
Landroid/accessibilityservice/AccessibilityService$SoftKeyboardController;->setShowMode,
Landroid/accessibilityservice/AccessibilityService;-><init>,android.permission.DUMP:
Landroid/accessibilityservice/AccessibilityService;->disableSelf,
Landroid/accessibilityservice/AccessibilityService;->dispatchGesture,
Landroid/accessibilityservice/AccessibilityService;->findFocus,android.permission.BACKUP:
Landroid/accessibilityservice/AccessibilityService;->getMagnificationController,
Landroid/accessibilityservice/AccessibilityService;->getRootInActiveWindow,android.permission.BACKUP:android.permission.BLUETOOTH_ADMIN:android.permission.WAKE_LOCK:
Landroid/accessibilityservice/AccessibilityService;->getServiceInfo,android.permission.DUMP:
Landroid/accessibilityservice/AccessibilityService;->getSoftKeyboardController,
Landroid/accessibilityservice/AccessibilityService;->getSystemService,android.permission.INTERACT_ACROSS_USERS:android.permission.INTERACT_ACROSS_USERS_FULL:
Landroid/accessibilityservice/AccessibilityService;->getWindows,android.permission.DUMP:
Landroid/accessibilityservice/AccessibilityService;->onAccessibilityEvent,
